t_us,v
7300.0,3.07613
7350.0,2.86438
7400.0,2.53224
7450.0,2.11121
7500.0,1.65167
7550.0,1.18529
7600.0,0.76621
7650.0,0.434674
7700.0,0.222634
7750.0,0.153255
7800.0,0.221064
7850.0,0.436795
7900.0,0.764046
7950.0,1.18647
8000.0,1.6518
8050.0,2.11305
8100.0,2.53042
8150.0,2.86399
8200.0,3.07799
8250.0,3.15133
8300.0,3.08053
8350.0,2.86394
8400.0,2.53049
8450.0,2.11327
8500.0,1.64986
8550.0,1.18669
8600.0,0.768262
8650.0,0.436822
8700.0,0.220074
8750.0,0.151659
8800.0,0.222266
8850.0,0.434128
8900.0,0.769598
8950.0,1.18911
9000.0,1.65099
9050.0,2.11385
9100.0,2.52981
9150.0,2.86927
9200.0,3.07835
9250.0,3.14772
9300.0,3.07503
9350.0,2.8637
9400.0,2.52857
9450.0,2.11386
9500.0,1.64908
9550.0,1.18893
9600.0,0.770246
9650.0,0.431052
9700.0,0.223499
9750.0,0.146765
9800.0,0.225635
9850.0,0.436811
9900.0,0.769419
9950.0,1.18434
10000.0,1.65366
10050.0,2.11757
10100.0,2.52955
10150.0,2.86427
10200.0,3.07524
10250.0,3.14995
10300.0,3.07405
10350.0,2.86726
10400.0,2.52974
10450.0,2.11293
10500.0,1.651
10550.0,1.18518
10600.0,0.767843
10650.0,0.435347
10700.0,0.223148
10750.0,0.147659
10800.0,0.222539
10850.0,0.436061
10900.0,0.767655
10950.0,1.18659
11000.0,1.64941
11050.0,2.11503
11100.0,2.53103
11150.0,2.86325
11200.0,3.07526
11250.0,3.14895
11300.0,3.07406
11350.0,2.86456
11400.0,2.52939
11450.0,2.11203
11500.0,1.65072
11550.0,1.18728
11600.0,0.767522
11650.0,0.432436
11700.0,0.224256
11750.0,0.150519
11800.0,0.22059
11850.0,0.438015
11900.0,0.76692
11950.0,1.18422
12000.0,1.65019
12050.0,2.11317
12100.0,2.53208
12150.0,2.86031
12200.0,3.08021
12250.0,3.14879
12300.0,3.07351
12350.0,2.86476
12400.0,2.53097
12450.0,2.11418
12500.0,1.64932
12550.0,1.18636
12600.0,0.768814
12650.0,0.434981
12700.0,0.224773
12750.0,0.14906
12800.0,0.221676
12850.0,0.436629
12900.0,0.769212
12950.0,1.18602
13000.0,1.64827
13050.0,2.11477
13100.0,2.52816
13150.0,2.86146
13200.0,3.07666
13250.0,3.14728
13300.0,3.07664
13350.0,2.86342
13400.0,2.53348
13450.0,2.1117
13500.0,1.64875
13550.0,1.18714
13600.0,0.763407
13650.0,0.442675
13700.0,0.222018
13750.0,0.14854
13800.0,0.225137
13850.0,0.436395
13900.0,0.764763
13950.0,1.18773
14000.0,1.65171
14050.0,2.11263
14100.0,2.53111
14150.0,2.8645
14200.0,3.07477
14250.0,3.15088
14300.0,3.07698
14350.0,2.86218
14400.0,2.52889
14450.0,2.11307
14500.0,1.64825
14550.0,1.18848
14600.0,0.76861
14650.0,0.438039
14700.0,0.223684
14750.0,0.150526
14800.0,0.221849
14850.0,0.437811
14900.0,0.771892
14950.0,1.18586
15000.0,1.64881
15050.0,2.11321
15100.0,2.53072
15150.0,2.86212
15200.0,3.07686
15250.0,3.14942
15300.0,3.07946
15350.0,2.86353
15400.0,2.53233
15450.0,2.11543
15500.0,1.6494
15550.0,1.18935
15600.0,0.767057
15650.0,0.434858
15700.0,0.222683
15750.0,0.149771
15800.0,0.220613
15850.0,0.436404
15900.0,0.764987
15950.0,1.18926
16000.0,1.64984
16050.0,2.11224
16100.0,2.52986
16150.0,2.86276
16200.0,3.07614
16250.0,3.14791
16300.0,3.07475
16350.0,2.86315
16400.0,2.53064
16450.0,2.1154
16500.0,1.65228
16550.0,1.18651
16600.0,0.769269
16650.0,0.433804
16700.0,0.22469
16750.0,0.149939
16800.0,0.224385
16850.0,0.439675
16900.0,0.76376
16950.0,1.187
17000.0,1.6478
17050.0,2.11471
17100.0,2.52905
17150.0,2.86253
17200.0,3.07699
17250.0,3.15123
17300.0,3.07673
17350.0,2.86194
17400.0,2.53057
17450.0,2.11529
17500.0,1.64999
17550.0,1.18311
17600.0,0.770009
17650.0,0.437307
17700.0,0.225162
17750.0,0.149327
17800.0,0.225072
17850.0,0.434352
17900.0,0.769462
17950.0,1.18549
18000.0,1.65135
18050.0,2.11554
18100.0,2.53021
18150.0,2.86342
18200.0,3.07666
18250.0,3.15238
18300.0,3.07801
18350.0,2.86109
18400.0,2.53259
18450.0,2.11502
18500.0,1.65425
18550.0,1.18312
18600.0,0.767249
18650.0,0.439141
18700.0,0.220705
18750.0,0.147601
18800.0,0.224449
18850.0,0.438511
18900.0,0.766985
18950.0,1.18755
19000.0,1.65023
19050.0,2.11656
19100.0,2.53167
19150.0,2.86551
19200.0,3.07478
19250.0,3.14963
19300.0,3.07639
19350.0,2.8658
19400.0,2.53284
19450.0,2.11202
19500.0,1.65136
19550.0,1.18802
19600.0,0.768099
19650.0,0.435959
19700.0,0.223028
19750.0,0.14661
19800.0,0.223793
19850.0,0.436944
19900.0,0.766591
19950.0,1.18796
20000.0,1.64725
20050.0,2.11242
20100.0,2.53073
20150.0,2.8675
20200.0,3.07339
20250.0,3.15113
20300.0,3.07847
20350.0,2.86428
20400.0,2.53404
20450.0,2.11152
20500.0,1.64544
20550.0,1.18801
20600.0,0.76593
20650.0,0.435822
20700.0,0.221058
20750.0,0.152105
20800.0,0.225146
20850.0,0.435034
20900.0,0.770129
20950.0,1.18672
21000.0,1.64972
21050.0,2.11364
21100.0,2.53127
21150.0,2.86476
21200.0,3.07721
21250.0,3.1493
21300.0,3.0786
21350.0,2.8623
21400.0,2.53225
21450.0,2.11437
21500.0,1.65296
21550.0,1.18546
21600.0,0.771808
21650.0,0.436827
21700.0,0.223027
21750.0,0.148655
21800.0,0.224588
21850.0,0.436572
21900.0,0.766115
21950.0,1.18422
22000.0,1.64889
22050.0,2.11217
22100.0,2.53386
22150.0,2.86628
22200.0,3.07832
22250.0,3.15072
22300.0,3.07573
22350.0,2.86363
22400.0,2.53345
22450.0,2.11779
22500.0,1.65183
22550.0,1.18591
22600.0,0.768398
22650.0,0.435509
22700.0,0.22185
22750.0,0.149632
22800.0,0.223806
22850.0,0.440146
22900.0,0.768426
22950.0,1.18919
23000.0,1.65353
23050.0,2.11368
23100.0,2.53489
23150.0,2.86496
23200.0,3.07575
23250.0,3.15053
23300.0,3.07663
23350.0,2.86306
23400.0,2.53128
23450.0,2.11381
23500.0,1.65087
23550.0,1.1847
23600.0,0.768303
23650.0,0.43343
23700.0,0.223937
23750.0,0.151247
23800.0,0.223743
23850.0,0.437046
23900.0,0.769502
23950.0,1.18514
24000.0,1.64952
24050.0,2.11455
24100.0,2.53368
24150.0,2.86432
24200.0,3.08169
24250.0,3.14982
24300.0,3.07858
24350.0,2.86606
24400.0,2.53141
24450.0,2.11188
24500.0,1.64763
24550.0,1.1868
24600.0,0.770543
24650.0,0.437018
24700.0,0.223761
24750.0,0.149242
24800.0,0.224537
24850.0,0.432203
24900.0,0.768787
24950.0,1.18653
25000.0,1.64726
25050.0,2.11788
25100.0,2.5289
25150.0,2.86137
25200.0,3.07418
25250.0,3.15222
25300.0,3.07481
25350.0,2.86486
25400.0,2.53285
25450.0,2.11404
25500.0,1.64738
25550.0,1.18525
25600.0,0.771668
25650.0,0.433893
25700.0,0.221752
25750.0,0.149676
25800.0,0.225033
25850.0,0.436978
25900.0,0.769806
25950.0,1.18434
26000.0,1.65189
26050.0,2.11466
26100.0,2.52849
26150.0,2.86661
26200.0,3.08117
26250.0,3.14846
26300.0,3.0767
26350.0,2.86632
26400.0,2.52872
26450.0,2.10955
26500.0,1.64741
26550.0,1.18534
26600.0,0.767165
26650.0,0.437689
26700.0,0.223952
26750.0,0.147508
26800.0,0.22455
26850.0,0.440223
26900.0,0.770716
26950.0,1.18846
27000.0,1.65004
27050.0,2.11549
27100.0,2.52975
27150.0,2.86503
27200.0,3.07641
27250.0,3.15226
27300.0,3.07752
27350.0,2.86135
27400.0,2.53193
27450.0,2.11596
27500.0,1.64774
27550.0,1.18536
27600.0,0.766785
27650.0,0.433483
27700.0,0.225338
27750.0,0.152622
27800.0,0.225015
27850.0,0.43696
27900.0,0.768218
27950.0,1.18695
28000.0,1.64854
28050.0,2.11531
28100.0,2.53377
28150.0,2.86539
28200.0,3.07552
28250.0,3.15016
28300.0,3.07625
28350.0,2.8671
28400.0,2.53204
28450.0,2.10976
28500.0,1.6508
28550.0,1.19024
28600.0,0.769692
28650.0,0.438233
28700.0,0.223487
28750.0,0.146057
28800.0,0.219795
28850.0,0.433983
28900.0,0.768068
28950.0,1.18709
29000.0,1.65138
29050.0,2.11284
29100.0,2.53359
29150.0,2.86297
29200.0,3.07518
29250.0,3.1517
29300.0,3.07476
29350.0,2.85807
29400.0,2.52956
29450.0,2.11371
29500.0,1.64384
29550.0,1.18576
29600.0,0.767658
29650.0,0.433622
29700.0,0.22045
29750.0,0.149075
29800.0,0.222321
29850.0,0.438994
29900.0,0.769072
29950.0,1.18331
30000.0,1.64829
30050.0,2.11494
30100.0,2.53547
30150.0,2.8643
30200.0,3.07721
30250.0,3.15372
30300.0,3.07654
30350.0,2.86291
30400.0,2.52885
30450.0,2.1125
30500.0,1.65436
30550.0,1.18363
30600.0,0.768345
30650.0,0.433658
30700.0,0.223672
30750.0,0.151775
30800.0,0.222928
30850.0,0.437935
30900.0,0.769764
30950.0,1.18737
31000.0,1.65343
31050.0,2.11508
31100.0,2.53107
31150.0,2.86216
31200.0,3.07489
31250.0,3.15095
31300.0,3.07594
31350.0,2.86898
31400.0,2.53536
31450.0,2.1131
31500.0,1.64934
31550.0,1.18985
31600.0,0.764555
31650.0,0.435571
31700.0,0.225317
31750.0,0.148176
31800.0,0.222462
31850.0,0.435772
31900.0,0.769644
31950.0,1.18675
32000.0,1.6508
32050.0,2.11472
32100.0,2.53174
32150.0,2.86575
32200.0,3.07513
32250.0,3.14713
32300.0,3.07303
32350.0,2.86028
32400.0,2.53058
32450.0,2.11559
32500.0,1.65035
32550.0,1.18528
32600.0,0.766182
32650.0,0.435417
32700.0,0.222608
32750.0,0.14887
32800.0,0.22055
32850.0,0.435523
32900.0,0.770356
32950.0,1.18213
33000.0,1.64952
33050.0,2.10928
33100.0,2.53204
33150.0,2.86203
33200.0,3.07241
33250.0,3.1502
33300.0,3.08022
33350.0,2.86374
33400.0,2.534
33450.0,2.11338
33500.0,1.64568
33550.0,1.18746
33600.0,0.767486
33650.0,0.43355
33700.0,0.224985
33750.0,0.150574
33800.0,0.222364
33850.0,0.438211
33900.0,0.766578
33950.0,1.18776
34000.0,1.64812
34050.0,2.11459
34100.0,2.52948
34150.0,2.8665
34200.0,3.07709
34250.0,3.15287
34300.0,3.07494
34350.0,2.86257
34400.0,2.53336
34450.0,2.10804
34500.0,1.64787
34550.0,1.18854
34600.0,0.769252
34650.0,0.438432
34700.0,0.222796
34750.0,0.151128
34800.0,0.221954
34850.0,0.433731
34900.0,0.764933
34950.0,1.18537
35000.0,1.6489
35050.0,2.11227
35100.0,2.52458
35150.0,2.85953
35200.0,3.07552
35250.0,3.15057
35300.0,3.07543
35350.0,2.86177
35400.0,2.52706
35450.0,2.11757
35500.0,1.6478
35550.0,1.18984
35600.0,0.771443
35650.0,0.437022
35700.0,0.22227
35750.0,0.150264
35800.0,0.221109
35850.0,0.436996
35900.0,0.768328
35950.0,1.18754
36000.0,1.6519
36050.0,2.11699
36100.0,2.5309
36150.0,2.86561
36200.0,3.075
36250.0,3.14821
36300.0,3.07535
36350.0,2.86156
36400.0,2.53364
36450.0,2.11537
36500.0,1.65254
36550.0,1.18642
36600.0,0.768871
36650.0,0.435318
36700.0,0.221113
36750.0,0.150894
36800.0,0.223952
36850.0,0.43426
36900.0,0.769493
36950.0,1.18299
37000.0,1.64964
37050.0,2.11226
37100.0,2.53062
37150.0,2.86136
37200.0,3.07849
37250.0,3.15113
37300.0,3.07895
37350.0,2.86379
37400.0,2.52908
37450.0,2.11277
37500.0,1.64762
37550.0,1.18737
37600.0,0.77072
37650.0,0.437107
37700.0,0.22219
37750.0,0.149233
37800.0,0.223796
37850.0,0.433554
37900.0,0.768591
37950.0,1.18684
38000.0,1.64888
38050.0,2.11266
38100.0,2.53199
38150.0,2.86185
38200.0,3.0749
38250.0,3.15152
38300.0,3.07699
38350.0,2.86684
38400.0,2.52966
38450.0,2.10992
38500.0,1.65184
38550.0,1.18834
38600.0,0.766798
38650.0,0.433489
38700.0,0.223271
38750.0,0.146444
38800.0,0.222677
38850.0,0.432053
38900.0,0.767786
38950.0,1.18217
39000.0,1.64946
39050.0,2.11649
39100.0,2.53108
39150.0,2.865
39200.0,3.07523
39250.0,3.14814
39300.0,3.07351
39350.0,2.86553
39400.0,2.53148
39450.0,2.11669
39500.0,1.64756
39550.0,1.18594
39600.0,0.768394
39650.0,0.439211
39700.0,0.226969
39750.0,0.148611
39800.0,0.221055
39850.0,0.432907
39900.0,0.7709
39950.0,1.1862
40000.0,1.64861
40050.0,2.11332
40100.0,2.52646
40150.0,2.85997
40200.0,3.07835
40250.0,3.15069
40300.0,3.07678
40350.0,2.86142
40400.0,2.53275
40450.0,2.11698
40500.0,1.64745
40550.0,1.1864
40600.0,0.767346
40650.0,0.43709
40700.0,0.223336
40750.0,0.149599
40800.0,0.221544
40850.0,0.436335
40900.0,0.766986
40950.0,1.18607
41000.0,1.64976
41050.0,2.11473
41100.0,2.53041
41150.0,2.86277
41200.0,3.07862
41250.0,3.14946
41300.0,3.07595
41350.0,2.86515
41400.0,2.53211
41450.0,2.1136
41500.0,1.65033
41550.0,1.18389
41600.0,0.769139
41650.0,0.439022
41700.0,0.224475
41750.0,0.146788
41800.0,0.223886
41850.0,0.434569
41900.0,0.767775
41950.0,1.18664
42000.0,1.64753
42050.0,2.11611
42100.0,2.53145
42150.0,2.86503
42200.0,3.07777
42250.0,3.15261
42300.0,3.07889
42350.0,2.8605
42400.0,2.53169
42450.0,2.10918
42500.0,1.64903
42550.0,1.18783
42600.0,0.770079
42650.0,0.438982
42700.0,0.222592
42750.0,0.150572
42800.0,0.223543
42850.0,0.438942
42900.0,0.771433
42950.0,1.18569
43000.0,1.6575
43050.0,2.11345
43100.0,2.53088
43150.0,2.86466
43200.0,3.07804
43250.0,3.15103
43300.0,3.07523
43350.0,2.86641
43400.0,2.53173
43450.0,2.11655
43500.0,1.65273
43550.0,1.18388
43600.0,0.766313
43650.0,0.434426
43700.0,0.223869
43750.0,0.150064
43800.0,0.22391
43850.0,0.434809
43900.0,0.769136
43950.0,1.18924
44000.0,1.64729
44050.0,2.1131
44100.0,2.53214
44150.0,2.86323
44200.0,3.07616
44250.0,3.1535
44300.0,3.07912
44350.0,2.86519
44400.0,2.53012
44450.0,2.11798
44500.0,1.65069
44550.0,1.18529
44600.0,0.767617
44650.0,0.435466
44700.0,0.227628
44750.0,0.150382
44800.0,0.223514
44850.0,0.432141
44900.0,0.76977
44950.0,1.18433
45000.0,1.64771
45050.0,2.11472
45100.0,2.52993
45150.0,2.86517
45200.0,3.0788
45250.0,3.1464
45300.0,3.07629
45350.0,2.86035
45400.0,2.53153
45450.0,2.11532
45500.0,1.64725
45550.0,1.19005
45600.0,0.767673
45650.0,0.434079
45700.0,0.223137
45750.0,0.151554
45800.0,0.220629
45850.0,0.436446
45900.0,0.765542
45950.0,1.18885
46000.0,1.65028
46050.0,2.11264
46100.0,2.53371
46150.0,2.86091
46200.0,3.07576
46250.0,3.15366
46300.0,3.0763
46350.0,2.8662
46400.0,2.53203
46450.0,2.11209
46500.0,1.64947
46550.0,1.18659
46600.0,0.767462
46650.0,0.434785
46700.0,0.22181
46750.0,0.146991
46800.0,0.223593
46850.0,0.437219
46900.0,0.769777
46950.0,1.18282
47000.0,1.65157
47050.0,2.11345
47100.0,2.52878
47150.0,2.86368
47200.0,3.07817
47250.0,3.151
47300.0,3.07799
47350.0,2.86537
47400.0,2.53343
47450.0,2.11341
47500.0,1.64579
47550.0,1.18491
47600.0,0.768991
47650.0,0.435493
47700.0,0.224744
47750.0,0.151554
47800.0,0.22347
47850.0,0.440193
47900.0,0.766331
47950.0,1.1883
48000.0,1.64901
48050.0,2.11192
48100.0,2.53282
48150.0,2.86225
48200.0,3.07826
48250.0,3.14763
48300.0,3.07662
48350.0,2.8618
48400.0,2.53117
48450.0,2.11274
48500.0,1.6477
48550.0,1.18775
48600.0,0.765794
48650.0,0.434476
48700.0,0.225161
48750.0,0.151909
48800.0,0.224714
48850.0,0.437119
48900.0,0.772843
48950.0,1.18402
49000.0,1.64848
49050.0,2.1115
49100.0,2.53344
49150.0,2.86407
49200.0,3.07877
49250.0,3.15191
49300.0,3.0761
49350.0,2.86185
49400.0,2.52966
49450.0,2.11792
49500.0,1.6519
49550.0,1.18763
49600.0,0.767613
49650.0,0.436048
49700.0,0.222697
49750.0,0.149322
49800.0,0.218578
49850.0,0.436322
49900.0,0.767528
49950.0,1.18702
50000.0,1.65039
50050.0,2.1152
50100.0,2.53162
50150.0,2.86509
50200.0,3.07143
50250.0,3.14777
50300.0,3.08001
50350.0,2.86106
50400.0,2.53109
50450.0,2.11491
50500.0,1.64821
50550.0,1.18789
50600.0,0.765438
50650.0,0.432619
50700.0,0.220728
50750.0,0.146664
50800.0,0.223352
50850.0,0.435811
50900.0,0.768951
50950.0,1.18437
51000.0,1.65506
51050.0,2.11331
51100.0,2.53156
51150.0,2.86441
51200.0,3.07607
51250.0,3.14871
51300.0,3.07673
51350.0,2.86534
51400.0,2.53298
51450.0,2.11538
51500.0,1.64884
51550.0,1.1849
51600.0,0.772304
51650.0,0.435971
51700.0,0.224347
51750.0,0.151452
51800.0,0.226232
51850.0,0.433748
51900.0,0.767338
51950.0,1.18558
52000.0,1.64937
52050.0,2.10868
52100.0,2.53146
52150.0,2.85772
52200.0,3.07716
52250.0,3.15105
52300.0,3.07776
52350.0,2.8611
52400.0,2.53357
52450.0,2.11178
52500.0,1.64753
52550.0,1.18449
52600.0,0.766608
52650.0,0.436802
52700.0,0.225047
52750.0,0.14578
52800.0,0.222317
52850.0,0.438262
52900.0,0.768715
52950.0,1.18748
53000.0,1.64699
53050.0,2.11542
53100.0,2.52854
53150.0,2.86391
53200.0,3.07931
53250.0,3.15376
53300.0,3.07761
53350.0,2.86529
53400.0,2.53047
53450.0,2.11256
53500.0,1.65234
53550.0,1.18648
53600.0,0.768067
53650.0,0.433653
53700.0,0.223716
53750.0,0.151292
53800.0,0.221827
53850.0,0.43546
53900.0,0.771483
53950.0,1.18683
54000.0,1.64942
54050.0,2.11125
54100.0,2.53044
54150.0,2.86303
54200.0,3.07932
54250.0,3.14878
54300.0,3.08017
54350.0,2.86167
54400.0,2.53096
54450.0,2.11521
54500.0,1.64952
54550.0,1.18481
54600.0,0.768058
54650.0,0.437372
54700.0,0.219984
54750.0,0.149503
54800.0,0.223197
54850.0,0.435667
54900.0,0.769793
54950.0,1.18534
55000.0,1.64927
55050.0,2.1136
55100.0,2.53314
55150.0,2.86308
55200.0,3.07962
55250.0,3.14818
55300.0,3.07916
55350.0,2.86181
55400.0,2.53135
55450.0,2.11425
55500.0,1.65411
55550.0,1.18827
55600.0,0.76751
55650.0,0.439073
55700.0,0.222988
55750.0,0.148417
55800.0,0.224313
55850.0,0.436663
55900.0,0.770229
55950.0,1.18538
56000.0,1.65076
56050.0,2.11479
56100.0,2.53223
56150.0,2.86347
56200.0,3.07519
56250.0,3.15181
56300.0,3.07686
56350.0,2.86452
56400.0,2.53098
56450.0,2.11355
56500.0,1.64793
56550.0,1.18665
56600.0,0.769853
56650.0,0.43666
56700.0,0.225134
56750.0,0.150626
56800.0,0.226143
56850.0,0.436094
56900.0,0.765045
56950.0,1.18734
57000.0,1.64967
57050.0,2.11158
57100.0,2.53298
57150.0,2.86405
57200.0,3.07748
57250.0,3.14934
57300.0,3.07698
57350.0,2.86403
57400.0,2.53523
57450.0,2.11216
57500.0,1.64998
57550.0,1.1872
57600.0,0.764873
57650.0,0.433269
57700.0,0.227747
57750.0,0.146466
57800.0,0.224565
57850.0,0.434778
57900.0,0.766796
57950.0,1.18251
58000.0,1.6482
58050.0,2.11509
58100.0,2.5289
58150.0,2.86472
58200.0,3.07721
58250.0,3.15404
58300.0,3.07564
58350.0,2.86605
58400.0,2.53346
58450.0,2.11295
58500.0,1.64667
58550.0,1.18949
58600.0,0.765593
58650.0,0.435528
58700.0,0.225182
58750.0,0.152232
58800.0,0.221724
58850.0,0.436411
58900.0,0.767805
58950.0,1.18884
59000.0,1.65501
59050.0,2.10987
59100.0,2.53351
59150.0,2.85781
59200.0,3.07661
59250.0,3.14778
59300.0,3.08057
59350.0,2.86386
59400.0,2.5302
59450.0,2.11253
59500.0,1.64885
59550.0,1.18685
59600.0,0.768006
59650.0,0.437786
59700.0,0.226496
59750.0,0.151403
59800.0,0.220963
59850.0,0.433227
59900.0,0.766811
59950.0,1.18858
60000.0,1.64933
60050.0,2.11219
60100.0,2.53195
60150.0,2.86069
60200.0,3.07431
60250.0,3.15102
60300.0,3.07598
60350.0,2.86262
60400.0,2.53231
60450.0,2.11236
60500.0,1.64863
60550.0,1.18555
60600.0,0.769527
60650.0,0.436594
60700.0,0.221026
60750.0,0.149394
60800.0,0.224712
60850.0,0.440216
60900.0,0.766037
60950.0,1.18715
61000.0,1.64948
61050.0,2.11518
61100.0,2.53258
61150.0,2.86647
61200.0,3.07762
61250.0,3.14891
61300.0,3.07551
61350.0,2.86434
61400.0,2.53247
61450.0,2.11832
61500.0,1.65335
61550.0,1.18413
61600.0,0.769023
61650.0,0.433813
61700.0,0.220104
61750.0,0.151487
61800.0,0.224519
61850.0,0.434397
61900.0,0.771609
61950.0,1.18452
62000.0,1.64766
62050.0,2.11483
62100.0,2.53212
62150.0,2.8632
62200.0,3.07645
62250.0,3.15045
62300.0,3.07631
62350.0,2.86318
62400.0,2.52789
62450.0,2.11084
62500.0,1.65122
62550.0,1.18507
62600.0,0.769413
62650.0,0.438945
62700.0,0.222705
62750.0,0.150566
62800.0,0.227568
62850.0,0.437864
62900.0,0.772006
62950.0,1.18954
63000.0,1.65151
63050.0,2.1133
63100.0,2.52999
63150.0,2.8613
63200.0,3.07756
63250.0,3.15094
63300.0,3.07624
63350.0,2.86522
63400.0,2.53047
63450.0,2.11575
63500.0,1.65008
63550.0,1.1864
63600.0,0.768322
63650.0,0.436277
63700.0,0.228392
63750.0,0.146777
63800.0,0.22377
63850.0,0.438963
63900.0,0.769757
63950.0,1.18587
64000.0,1.65348
64050.0,2.11139
64100.0,2.52907
64150.0,2.86466
64200.0,3.07368
64250.0,3.14524
64300.0,3.07835
64350.0,2.86505
64400.0,2.53314
64450.0,2.11255
64500.0,1.65037
64550.0,1.18454
64600.0,0.771791
64650.0,0.438057
64700.0,0.2249
64750.0,0.1461
64800.0,0.22503
64850.0,0.439462
64900.0,0.770755
64950.0,1.18805
65000.0,1.65
65050.0,2.11284
65100.0,2.53288
65150.0,2.86429
65200.0,3.07706
65250.0,3.14938
65300.0,3.07995
65350.0,2.86119
65400.0,2.53163
65450.0,2.11237
65500.0,1.65206
65550.0,1.18934
65600.0,0.77081
65650.0,0.437985
65700.0,0.22061
65750.0,0.154162
65800.0,0.224449
65850.0,0.436258
65900.0,0.768365
65950.0,1.1858
66000.0,1.65085
66050.0,2.11415
66100.0,2.53096
66150.0,2.85839
66200.0,3.07651
66250.0,3.15095
66300.0,3.07764
66350.0,2.86322
66400.0,2.53258
66450.0,2.11558
66500.0,1.64906
66550.0,1.18941
66600.0,0.764412
66650.0,0.433952
66700.0,0.221605
66750.0,0.145111
66800.0,0.221416
66850.0,0.438971
66900.0,0.770805
66950.0,1.18667
67000.0,1.65344
67050.0,2.114
67100.0,2.53068
67150.0,2.86401
67200.0,3.07631
67250.0,3.15147
67300.0,3.07358
67350.0,2.86552
67400.0,2.53076
67450.0,2.11524
67500.0,1.64692
67550.0,1.18564
67600.0,0.768478
67650.0,0.438277
67700.0,0.22098
67750.0,0.153335
67800.0,0.224381
67850.0,0.435423
67900.0,0.770757
67950.0,1.18668
68000.0,1.65232
68050.0,2.11817
68100.0,2.53321
68150.0,2.86247
68200.0,3.07573
68250.0,3.15117
68300.0,3.07716
68350.0,2.86186
68400.0,2.53034
68450.0,2.11486
68500.0,1.65469
68550.0,1.18121
68600.0,0.76977
68650.0,0.436052
68700.0,0.224974
68750.0,0.151735
68800.0,0.223521
68850.0,0.434443
68900.0,0.765528
68950.0,1.18273
69000.0,1.65244
69050.0,2.11311
69100.0,2.5306
69150.0,2.86297
69200.0,3.07391
69250.0,3.15061
69300.0,3.07922
69350.0,2.8658
69400.0,2.52855
69450.0,2.11625
69500.0,1.64847
69550.0,1.18265
69600.0,0.765863
69650.0,0.434541
69700.0,0.223401
69750.0,0.147936
69800.0,0.220395
69850.0,0.435946
69900.0,0.77217
69950.0,1.18507
70000.0,1.65093
